ID RUAS,Nama Jalan,NO RUAS,STA FROM,RUAS KIRI,RUAS KANAN,RUAS KIRI,RUAS KANAN
22033-0,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,000+000,100.0,69.0,4.0,3.6
22033-10,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,000+100,100.0,64.1,3.3,3.4
22033-20,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,000+200,100.0,69.4,3.5,3.8
22033-30,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,000+300,100.0,75.8,3.4,3.7
22033-40,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,000+400,100.0,74.0,3.6,3.5
22033-50,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,000+500,100.0,100.0,3.9,3.5
22033-60,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,000+600,100.0,81.8,4.5,3.9
22033-70,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,000+700,100.0,67.2,3.5,3.6
22033-80,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,000+800,95.4,65.2,4.7,3.4
22033-90,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,000+900,85.2,66.8,3.7,3.5
22033-100,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,001+000,80.0,66.0,3.6,3.5
22033-110,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,001+100,65.9,73.3,4.5,4.3
22033-120,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,001+200,79.8,67.4,4.0,3.8
22033-130,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,001+300,82.1,63.8,3.5,3.5
22033-140,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,001+400,84.9,68.0,3.6,3.7
22033-150,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,001+500,84.9,61.4,3.6,3.5
22033-160,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,001+600,84.9,62.7,3.6,3.7
22033-170,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,001+700,83.4,65.0,3.4,3.6
22033-180,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,001+800,82.7,64.3,3.6,3.8
22033-190,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,001+900,86.3,63.9,3.5,3.4
22033-200,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,002+000,82.3,62.1,3.5,3.5
22033-210,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,002+100,82.0,64.7,3.7,3.8
22033-220,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,002+200,81.8,65.4,3.7,3.5
22033-230,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,002+300,80.7,66.4,3.9,3.5
22033-240,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,002+400,80.7,74.2,3.6,3.5
22033-250,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,002+500,100.0,78.5,3.7,3.5
22033-260,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,002+600,100.0,78.8,5.6,4.0
22033-270,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,002+700,73.8,76.9,3.8,3.7
22033-280,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,002+800,57.7,69.1,4.2,3.8
22033-290,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,002+900,65.2,68.5,3.9,3.6
22033-300,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,003+000,70.3,79.3,3.5,3.4
22033-310,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,003+100,70.3,74.2,3.5,4.3
22033-320,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,003+200,72.8,73.9,3.7,4.2
22033-330,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,003+300,83.7,76.0,5.2,4.3
22033-340,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,003+400,90.0,100.0,3.6,3.9
22033-350,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,003+500,90.5,83.0,3.6,5.0
22033-360,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,003+600,90.5,100.0,3.4,3.5
22033-370,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,003+700,89.0,100.0,3.6,3.6
22033-380,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,003+800,88.0,90.5,3.5,3.5
22033-390,BTS. KOTA PADALARANG - BTS. KOTA BANDUNG,22033,003+900,85.3,100.0,3.5,4.0
2203312-50,JLN. RAYA CIMAHI (CIMAHI),2203312,000+500,91.3,88.5,4.7,4.2
2203312-60,JLN. RAYA CIMAHI (CIMAHI),2203312,000+600,78.0,84.0,4.3,4.6
2203312-70,JLN. RAYA CIMAHI (CIMAHI),2203312,000+700,100.0,85.1,3.5,3.7
2203312-80,JLN. RAYA CIMAHI (CIMAHI),2203312,000+800,100.0,85.1,3.6,3.9
2203312-90,JLN. RAYA CIMAHI (CIMAHI),2203312,000+900,100.0,85.1,3.5,4.2
